Date,Weekly_Sale,Category,Color,Material,Location
2018-02-05,24924,BOOT,BLACK,IMSU,2
2018-02-12,46039,BOOT,BLACK,IMSU,3
2018-02-19,41595,BOOT,BLACK,IMSU,2
2018-02-26,19403,BOOT,BLACK,IMSU,3
2018-03-05,21827,BOOT,BLACK,IMSU,3
2018-03-12,21043,BOOT,BLACK,IMSU,3
2018-03-19,22136,BOOT,BLACK,IMSU,1
2018-03-26,26229,BOOT,BLACK,IMSU,3
2018-04-02,57258,BOOT,BLACK,IMSU,3
2018-04-09,42960,BOOT,BLACK,IMSU,2
2018-04-16,17596,BOOT,BLACK,IMSU,3
2018-04-23,16145,BOOT,BLACK,IMSU,2
2018-04-30,16555,BOOT,BLACK,IMSU,2
2018-05-07,17413,BOOT,BLACK,IMSU,3
2018-05-14,18926,BOOT,BLACK,IMSU,1
2018-05-21,14773,BOOT,BLACK,IMSU,3
2018-05-28,15580,BOOT,BLACK,IMSU,3
2018-06-04,17558,BOOT,BLACK,IMSU,1
2018-06-11,16637,BOOT,BLACK,IMSU,1
2018-06-18,16216,BOOT,BLACK,IMSU,2
2018-06-25,16328,BOOT,BLACK,IMSU,2
2018-07-02,16333,BOOT,BLACK,IMSU,3
2018-07-09,17688,BOOT,BLACK,IMSU,2
2018-07-16,17150,BOOT,BLACK,IMSU,2
2018-07-23,15360,BOOT,BLACK,IMSU,3
2018-07-30,15381,BOOT,BLACK,IMSU,3
2018-08-06,17508,BOOT,BLACK,IMSU,1
2018-08-13,15536,BOOT,BLACK,IMSU,2
2018-08-20,15740,BOOT,BLACK,IMSU,2
2018-08-27,15793,BOOT,BLACK,IMSU,2
2018-09-03,16241,BOOT,BLACK,IMSU,2
2018-09-10,18194,BOOT,BLACK,IMSU,2
2018-09-17,19354,BOOT,BLACK,IMSU,3
2018-09-24,18122,BOOT,BLACK,IMSU,1
2018-10-01,20094,BOOT,BLACK,IMSU,1
2018-10-08,23388,BOOT,BLACK,IMSU,2
2018-10-15,26978,BOOT,BLACK,IMSU,3
2018-10-22,25543,BOOT,BLACK,IMSU,2
2018-10-29,38640,BOOT,BLACK,IMSU,2
2018-11-05,34238,BOOT,BLACK,IMSU,3
2018-11-12,19549,BOOT,BLACK,IMSU,2
